names,wkt_geom,type
Вишнёвая,"LINESTRING(30.7684976 46.5656068, 30.7669537 46.5698117)",street
Водопроводная,"LINESTRING(30.7293698 46.4584342, 30.7298541 46.4592631, 30.7382746 46.4685241)",street
Военный спуск,"LINESTRING(30.7359879 46.486786, 30.737101 46.4877845, 30.7373691 46.491168)",street
Волна,"POLYGON((30.8019163 46.5832883, 30.8025356 46.5830814, 30.8027845 46.5834334, 30.8024346 46.5835946, 30.8025973 46.5838249, 30.8023533 46.5839064, 30.8019163 46.5832883))",street
Воробьева|Воробьёва,"LINESTRING(30.6959875 46.4960191, 30.6952395 46.4915714, 30.6930018 46.4805197, 30.6916985 46.4795203)",street
Вузовский,"POLYGON((30.7269208 46.4116273, 30.7270084 46.4111854, 30.7271387 46.4110231, 30.7273131 46.411062, 30.7274615 46.4114803, 30.7269208 46.4116273))",street
вузовский,"POLYGON((30.7249429 46.4129238, 30.7246388 46.4126326, 30.7248151 46.4125454, 30.72512 46.4128374, 30.7249429 46.4129238))",street
Вымпел,"POLYGON((30.7316277 46.4368182, 30.7315788 46.4364119, 30.731777 46.4363923, 30.7318887 46.4367925, 30.7316277 46.4368182))",street
высокий,"LINESTRING(30.7225131 46.4649079, 30.7253505 46.4627932, 30.7271105 46.462234, 30.7273519 46.4622204, 30.7274843 46.4623869, 30.7321072 46.4619044, 30.7322184 46.4617649, 30.7323244 46.4618813)",street
высоцкого,"LINESTRING(30.7997618 46.5811502, 30.8090543 46.578019)",street
Выставочная,"LINESTRING(30.6992937 46.4815169, 30.6933758 46.4819686)",street
Вячеслава Черновола,"LINESTRING(30.7491142 46.4719491, 30.7486466 46.4690053)",street
Гаваи,"POLYGON((30.7639892 46.4293378, 30.7635628 46.4294219, 30.763277 46.4290985, 30.7650876 46.4284199, 30.7660975 46.428137, 30.7661835 46.42826, 30.7660274 46.4284632, 30.7639892 46.4293378))",street
Гаванная,"LINESTRING(30.7358681 46.4852969, 30.7359879 46.486786)",street
Гагарина,"LINESTRING(30.7380223 46.4518145, 30.7394251 46.4525709, 30.7507231 46.4569752)",street
Гагаринн Плаза,"POLYGON((30.7617925 46.432121, 30.7613168 46.4320094, 30.7614975 46.4316435, 30.7622983 46.4318314, 30.7621176 46.4321973, 30.7617925 46.432121))",street
гагаринское плато,"POLYGON((30.7667568 46.4301141, 30.7671086 46.4309055, 30.7646328 46.4317202, 30.7652931 46.43288, 30.7629454 46.4340179, 30.7625161 46.4341853, 30.7615451 46.4341754, 30.7604586 46.4330092, 30.7667568 46.4301141))",street
Гайдара,"LINESTRING(30.7004018 46.4259629, 30.7154427 46.4424623)",street
Гаркавого,"LINESTRING(30.7021041 46.3602143, 30.7066565 46.360287)",street
Геллера,"LINESTRING(30.7471871 46.4238427, 30.7329024 46.4317961)",street
Ген Петрова|Генерала Петрова,"LINESTRING(30.694644 46.4421411, 30.6947584 46.440504, 30.6949956 46.4396632, 30.6952848 46.4390135, 30.6957223 46.4382874, 30.6964692 46.4373518, 30.6971433 46.4367079, 30.6984563 46.435734, 30.6991115 46.4353627, 30.7014307 46.4343318, 30.7030776 46.4336183, 30.7040571 46.433177, 30.7061705 46.4322901, 30.7084961 46.4312811, 30.7106614 46.4303341, 30.7124582 46.4295308, 30.713878 46.4286869, 30.7160523 46.4272731, 30.7174996 46.426295, 30.7187525 46.425494, 30.7207004 46.4242244, 30.7211407 46.4239463)",street
Генуэзская,"LINESTRING(30.7564245 46.4395578, 30.7567489 46.4389387, 30.7573285 46.438375, 30.7571709 46.4389692)",street
Гераневая,"POLYGON((30.732189 46.4353009, 30.73252 46.4356443, 30.7333105 46.4394795, 30.732189 46.4353009))",street
Героев Обороны|Сталинграда,"LINESTRING(30.786447 46.581756, 30.77721 46.5650412)",street
Героев Пограничников|героив прикордонникив,"LINESTRING(30.7304845 46.4360227, 30.7351867 46.4337703)",street
Гимназическая,"LINESTRING(30.7448029 46.4679394, 30.7449916 46.4683456, 30.7455731 46.4722048)",street
Глазунова,"LINESTRING(30.7315099 46.4216385, 30.7341476 46.420175)",street
Глиняная,"LINESTRING(30.716989 46.4426545, 30.7197584 46.4412538)",street
Глухой мост,"POLYGON((30.7167946 46.4968225, 30.7169144 46.4968536, 30.716847 46.4969765, 30.7167272 46.4969454, 30.7167946 46.4968225))",street
глушко,"LINESTRING(30.7075111 46.3970624, 30.7221021 46.3986917, 30.7242314 46.3987502, 30.7248662 46.3989996, 30.731612 46.3997229)",street
